competition,season,match_id,kick_off,team,goals_scored,goals_conceded,competition_stage,goal_difference,winner,goals_scored_HT,goals_conceded_HT,Advantage_HT,Stoppage_Time_Goals_HT,Stoppage_Time_Goals,Goals_Scored_Midfielders,Goals_Scored_Forwards,Goals_Scored_Defenders,Goals_Scored_Goalkeepers
United States of America - NWSL,2018,7520,03:00:00.000,Washington Spirit,0,2,Regular Season,-2,0,0,1,-1,0,0,0,0,0,0
United States of America - NWSL,2018,7521,01:00:00.000,NJ/NY Gotham FC,1,2,Regular Season,-1,0,1,1,0,0,0,0,1,0,0
United States of America - NWSL,2018,7521,01:00:00.000,Utah Royals,2,1,Regular Season,1,1,1,1,0,0,0,0,0,0,0
United States of America - NWSL,2018,7522,01:00:00.000,North Carolina Courage,1,1,Regular Season,0,0,0,0,0,0,0,0,1,0,0
United States of America - NWSL,2018,7522,01:00:00.000,Houston Dash,1,1,Regular Season,0,0,0,0,0,0,0,0,0,0,0
United States of America - NWSL,2018,7523,03:00:00.000,Orlando Pride,0,0,Regular Season,0,0,0,0,0,0,0,0,0,0,0
United States of America - NWSL,2018,7523,03:00:00.000,OL Reign,0,0,Regular Season,0,0,0,0,0,0,0,0,0,0,0
United States of America - NWSL,2018,7524,02:30:00.000,Orlando Pride,1,3,Regular Season,-2,0,0,1,-1,0,0,0,1,0,0
United States of America - NWSL,2018,7524,02:30:00.000,Houston Dash,3,1,Regular Season,2,1,1,0,1,0,1,0,3,0,0
Spain - La Liga,2017/2018,9575,20:15:00.000,Real Betis,0,2,Regular Season,-2,0,0,1,-1,0,0,0,0,0,0
Spain - La Liga,2017/2018,9575,20:15:00.000,Barcelona,2,0,Regular Season,2,1,1,0,1,0,0,1,0,0,0
Spain - La Liga,2017/2018,9581,18:15:00.000,Deportivo Alavés,0,2,Regular Season,-2,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2017/2018,9581,18:15:00.000,Barcelona,2,0,Regular Season,2,1,0,0,0,0,0,0,2,0,0
Spain - La Liga,2017/2018,9592,20:45:00.000,Barcelona,5,0,Regular Season,5,1,2,0,2,0,0,0,4,1,0
Spain - La Liga,2017/2018,9592,20:45:00.000,Espanyol,0,5,Regular Season,-5,0,0,2,-2,0,0,0,0,0,0
Spain - La Liga,2017/2018,9602,16:15:00.000,Barcelona,2,1,Regular Season,1,1,0,1,-1,0,0,2,0,0,0
Spain - La Liga,2017/2018,9602,16:15:00.000,Getafe,1,2,Regular Season,-1,0,1,0,1,0,0,1,0,0,0
Spain - La Liga,2017/2018,9609,22:00:00.000,Eibar,1,6,Regular Season,-5,0,0,2,-2,0,0,0,1,0,0
Spain - La Liga,2017/2018,9609,22:00:00.000,Barcelona,6,1,Regular Season,5,1,2,0,2,0,0,1,5,0,0
Spain - La Liga,2017/2018,9620,20:45:00.000,Barcelona,3,0,Regular Season,3,1,0,0,0,0,0,0,1,0,0
Spain - La Liga,2017/2018,9620,20:45:00.000,Girona,0,3,Regular Season,-3,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2017/2018,9636,16:15:00.000,Las Palmas,0,3,Regular Season,-3,0,0,0,0,0,0,0,0,0,0
Spain - La Liga,2017/2018,9636,16:15:00.000,Barcelona,3,0,Regular Season,3,1,0,0,0,0,0,1,2,0,0
Spain - La Liga,2017/2018,9642,20:45:00.000,Atlético Madrid,1,1,Regular Season,0,0,1,0,1,0,0,1,0,0,0
Spain - La Liga,2017/2018,9642,20:45:00.000,Barcelona,1,1,Regular Season,0,0,0,1,-1,0,0,0,1,0,0
Spain - La Liga,2017/2018,9650,20:45:00.000,Málaga,0,2,Regular Season,-2,0,0,1,-1,0,0,0,0,0,0
Spain - La Liga,2017/2018,9650,20:45:00.000,Barcelona,2,0,Regular Season,2,1,1,0,1,0,0,0,0,0,0
Spain - La Liga,2017/2018,9661,20:45:00.000,Athletic Club,0,2,Regular Season,-2,0,0,1,-1,0,0,0,0,0,0
Spain - La Liga,2017/2018,9661,20:45:00.000,Barcelona,2,0,Regular Season,2,1,1,0,1,0,1,0,1,0,0
Spain - La Liga,2017/2018,9673,20:45:00.000,Barcelona,2,1,Regular Season,1,1,1,0,1,0,0,0,0,0,0
Spain - La Liga,2017/2018,9673,20:45:00.000,Sevilla,1,2,Regular Season,-1,0,0,1,-1,0,0,1,0,0,0
