match_id,team,shots_15,shots_30,shots_45,shots_stoppage_HT1,shots_60,shots_75,shots_90,shots_stoppage_HT2,passes_15,passes_30,passes_45,passes_stoppage_HT1,passes_60,passes_75,passes_90,passes_stoppage_HT2,subs_15,subs_30,subs_45,subs_stoppage_HT1,subs_60,subs_75,subs_90,subs_stoppage_HT2,tactical_15,tactical_30,tactical_45,tactical_stoppage_HT1,tactical_60,tactical_75,tactical_90,tactical_stoppage_HT2,fouls_won_15,fouls_won_30,fouls_won_45,fouls_won_stoppage_HT1,fouls_won_60,fouls_won_75,fouls_won_90,fouls_won_stoppage_HT2,fouls_committed_15,fouls_committed_30,fouls_committed_45,fouls_committed_stoppage_HT1,fouls_committed_60,fouls_committed_75,fouls_committed_90,fouls_committed_stoppage_HT2,goals_15,goals_30,goals_45,goals_stoppage_HT1,goals_60,goals_75,goals_90,goals_stoppage_HT2,yellow_cards_15,yellow_cards_30,yellow_cards_45,yellow_cards_stoppage_HT1,yellow_cards_60,yellow_cards_75,yellow_cards_90,yellow_cards_stoppage_HT2,yellow_cards_2_15,yellow_cards_2_30,yellow_cards_2_45,yellow_cards_2_stoppage_HT1,yellow_cards_2_60,yellow_cards_2_75,yellow_cards_2_90,yellow_cards_2_stoppage_HT2,red_cards_15,red_cards_30,red_cards_45,red_cards_stoppage_HT1,red_cards_60,red_cards_75,red_cards_90,red_cards_stoppage_HT2,shots_total_HT1,shots_total_HT2,shots_total,passes_total_HT1,passes_total_HT2,passes_total,subs_total_HT1,subs_total_HT2,subs_total,tactical_total_HT1,tactical_total_HT2,tactical_total,fouls_won_total_HT1,fouls_won_total_HT2,fouls_won_total,fouls_committed_total_HT1,fouls_committed_total_HT2,fouls_committed_total,goals_total_HT1,goals_total_HT2,goals_total,yellow_cards_total_HT1,yellow_cards_total_HT2,yellow_cards_total,yellow_cards_2_total_HT1,yellow_cards_2_total_HT2,yellow_cards_2_total,red_cards_total_HT1,red_cards_total_HT2,red_cards_total,competition,season,kick_off,goals_scored,goals_conceded,competition_stage,home,goal_difference,winner,goals_scored_HT,goals_conceded_HT,Advantage_HT,Stoppage_Time_Goals_HT,Losing_HT,Stoppage_Time_Goals,Goals_Scored_Midfielders,Goals_Scored_Forwards,Goals_Scored_Defenders,Goals_Scored_Goalkeepers,winning_percentage_groupstage,is_loss,loss_percentage_groupstage,is_draw,draw_percentage_groupstage,points,points_groupstage,goal_difference_groupstage,last_match_points,win_last_match,draw_last_match,loss_last_match,last_match_goals_knockout
3847567,England Women's,1,4,1,0,0,0,0,2,59,35,71,15,11,0,0,179,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,2,4,1,1,0,0,8,1,3,1,1,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,180,190,370,0,5,5,0,1,1,8,9,17,6,7,13,0,1,1,0,0,0,0,0,0,0,0,0,Europe - UEFA Women's Euro,2022,18:00:00.000,2,1,Final,1,1,1,0,0,0,0,0,0,1,1,0,0,1.0,,0.0,,0.0,,9.0,14.0,,,,,4.0
22936,England Women's,2,2,4,1,1,0,0,5,99,111,71,31,19,0,0,250,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,0,1,3,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,15,312,269,581,0,3,3,0,0,0,5,2,7,5,3,8,2,0,2,0,0,0,0,0,0,0,0,0,International - Women's World Cup,2019,18:00:00.000,2,1,Regular Season,1,1,1,2,0,2,0,0,0,0,1,0,0,,,,,,,,,,,,,0.0
22962,England Women's,1,3,4,2,0,0,0,7,90,82,80,26,42,0,0,297,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,4,2,1,0,0,0,0,4,1,1,3,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,278,339,617,0,3,3,0,2,2,7,4,11,7,3,10,0,1,1,0,0,0,0,0,0,0,0,0,International - Women's World Cup,2019,21:00:00.000,1,0,Regular Season,1,1,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,2.0
68337,England Women's,4,4,2,0,0,0,0,6,94,106,84,20,11,0,0,260,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,2,2,2,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16,304,271,575,0,3,3,0,0,0,4,2,6,6,5,11,1,1,2,0,0,0,0,0,0,0,0,0,International - Women's World Cup,2019,21:00:00.000,2,0,Regular Season,0,2,1,1,0,1,0,0,0,0,2,0,0,,,,,,,,,,,,,1.0
68362,England Women's,1,1,0,1,0,0,0,4,85,129,103,45,56,0,0,201,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,4,1,0,2,0,0,3,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,362,257,619,0,3,3,0,1,1,7,5,12,2,2,4,2,1,3,0,0,0,0,0,0,0,0,0,International - Women's World Cup,2019,17:30:00.000,3,0,Round of 16,1,3,1,1,0,1,0,0,0,0,1,2,0,,,,,,,,,,,,,2.0
69199,England Women's,1,3,2,1,1,0,0,8,83,126,83,18,18,0,0,168,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,2,0,2,0,2,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,16,310,186,496,0,3,3,0,0,0,3,9,12,4,5,9,2,1,3,0,0,0,0,0,0,0,0,0,International - Women's World Cup,2019,21:00:00.000,3,0,Regular Season,0,3,1,2,0,2,0,0,0,1,1,1,0,,,,,,,,,,,,,3.0
69258,England Women's,0,1,2,0,1,0,0,3,99,85,64,24,31,0,0,197,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5,1,1,1,0,3,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,272,228,500,0,3,3,0,1,1,2,5,7,3,11,14,1,0,1,0,0,0,0,0,0,0,0,0,International - Women's World Cup,2019,21:00:00.000,1,2,Semi-finals,1,-1,0,1,2,-1,0,1,0,0,1,0,0,,,,,,,,,,,,,3.0
69301,England Women's,0,1,0,2,0,0,0,8,61,67,79,41,22,0,0,298,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,3,1,0,0,0,5,1,1,3,1,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,248,320,568,0,3,3,0,1,1,6,5,11,6,5,11,1,0,1,0,0,0,0,0,0,0,0,0,International - Women's World Cup,2019,17:00:00.000,1,2,3rd Place Final,1,-1,0,1,2,-1,0,1,0,1,0,0,0,,,,,,,,,,,,,1.0
3893794,England Women's,4,1,3,1,0,0,0,11,102,27,100,100,22,0,0,347,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,4,1,4,4,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20,329,369,698,0,2,2,0,2,2,2,2,4,13,6,19,1,0,1,0,0,0,0,0,0,0,0,0,International - Women's World Cup,2023,12:30:00.000,1,0,Group Stage,1,1,1,1,0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,
3893811,England Women's,2,4,0,0,0,0,0,6,140,126,81,48,12,0,0,250,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,2,2,4,1,0,0,6,0,0,1,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,395,262,657,1,2,3,1,1,2,8,7,15,3,4,7,1,0,1,0,0,0,0,0,0,0,0,0,International - Women's World Cup,2023,11:30:00.000,1,0,Group Stage,1,1,1,1,0,1,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,3.0,1.0,0.0,0.0,
